Enter the x value to approximate at: Actual value: 0.002478752177 
n: 1	value: 1.000000000000
n: 2	value: -5.000000000000
n: 3	value: 13.000000000000
n: 4	value: -23.000000000000
n: 5	value: 31.000000000000
n: 6	value: -33.800000000000
n: 7	value: 31.000000000000
n: 8	value: -24.542857142857
n: 9	value: 17.114285714286
n: 10	value: -10.657142857143
n: 11	value: 6.005714285714
n: 12	value: -3.083116883117
n: 13	value: 1.461298701299
n: 14	value: -0.636123876124
n: 15	value: 0.262771514200
n: 16	value: -0.096786641929
n: 17	value: 0.038047666619
n: 18	value: -0.009540912869
n: 19	value: 0.006321946961
n: 20	value: 0.001312622804
n: 21	value: 0.002815420051
n: 22	value: 0.002386049409
n: 23	value: 0.002503150493
n: 24	value: 0.002472602384
n: 25	value: 0.002480239411
n: 26	value: 0.002478406525
n: 27	value: 0.002478829499
n: 28	value: 0.002478735505
n: 29	value: 0.002478755646
n: 30	value: 0.002478751479
