Enter the x value to approximate at: Actual value: 403.428793 
n: 1	value: 1.000000
n: 2	value: 7.000000
n: 3	value: 25.000000
n: 4	value: 61.000000
n: 5	value: 115.000000
n: 6	value: 179.800000
n: 7	value: 244.600000
n: 8	value: 300.142857
n: 9	value: 341.800000
n: 10	value: 369.571429
n: 11	value: 386.234286
n: 12	value: 395.323117
n: 13	value: 399.867532
n: 14	value: 401.964955
n: 15	value: 402.863850
n: 16	value: 403.223409
n: 17	value: 403.358243
n: 18	value: 403.405831
n: 19	value: 403.421694
n: 20	value: 403.426704
n: 21	value: 403.428206
n: 22	value: 403.428636
n: 23	value: 403.428753
n: 24	value: 403.428783
n: 25	value: 403.428791
n: 26	value: 403.428793
n: 27	value: 403.428793
n: 28	value: 403.428793
n: 29	value: 403.428793
n: 30	value: 403.428793
n: 31	value: 403.428793
n: 32	value: 403.428793
n: 33	value: 403.428793
n: 34	value: 403.428793
n: 35	value: 403.428793
n: 36	value: 403.428793
n: 37	value: 403.428793
