Enter the x value to approximate at: Actual value: 114200738981568423454048256.000000 
n: 1	value: 1.000000
n: 2	value: 61.000000
n: 3	value: 1861.000000
n: 4	value: 37861.000000
n: 5	value: 577861.000000
n: 6	value: 7057861.000000
n: 7	value: 71857861.000000
n: 8	value: 627286432.428571
n: 9	value: 4793000718.142858
n: 10	value: 32564429289.571430
n: 11	value: 199193000718.142883
n: 12	value: 1108076117601.259766
n: 13	value: 5652491702016.844727
n: 14	value: 26626717476242.617188
n: 15	value: 116516256508638.781250
n: 16	value: 476074412638223.500000
n: 17	value: 1824417498124166.000000
n: 18	value: 6583275446898081.000000
n: 19	value: 22446135276144464.000000
n: 20	value: 72539376842185680.000000
n: 21	value: 222819101540309312.000000
n: 22	value: 652189743534948352.000000
n: 23	value: 1823200585338509056.000000
n: 24	value: 4878011476999971840.000000
n: 25	value: 12515038706153627648.000000
n: 26	value: 30843904056122400768.000000
n: 27	value: 73141285632973414400.000000
n: 28	value: 167135466914864562176.000000
n: 29	value: 368551569661774135296.000000
n: 30	value: 785274540862276632576.000000
n: 31	value: 1618720483263281889280.000000
n: 32	value: 3231841662103937089536.000000
n: 33	value: 6256443872430165852160.000000
n: 34	value: 11755720618477854130176.000000
n: 35	value: 21460326640914949734400.000000
n: 36	value: 38096794107949977960448.000000
n: 37	value: 65824239886341683281920.000000
n: 38	value: 110787665472922828406784.000000
n: 39	value: 181782547978050980544512.000000
n: 40	value: 291005444139786604380160.000000
n: 41	value: 454839788382390006579200.000000
n: 42	value: 694597365322785298055168.000000
n: 43	value: 1037108189523349904293888.000000
n: 44	value: 1515030269803207485030400.000000
n: 45	value: 2166742197457558597271552.000000
n: 46	value: 3035691434330026925883392.000000
n: 47	value: 4169103482424550762741760.000000
n: 48	value: 5616012479992027955593216.000000
n: 49	value: 7424648726951374446657536.000000
n: 50	value: 9639305355881186498445312.000000
n: 51	value: 12296893310596960101597184.000000
n: 52	value: 15423467374968459847794688.000000
n: 53	value: 19031052833858651697446912.000000
n: 54	value: 23115111843923020031721472.000000
n: 55	value: 27652955188438982461489152.000000
n: 56	value: 32603329746092763562115072.000000
n: 57	value: 37907302486436096774242304.000000
n: 58	value: 43490431686797504450396160.000000
n: 59	value: 49266082583723092081639424.000000
n: 60	value: 55139625868732163812229120.000000
n: 61	value: 61013169153741235542818816.000000
n: 62	value: 66790424843914096362389504.000000
n: 63	value: 72381317447307186369724416.000000
n: 64	value: 77705977069586315619598336.000000
n: 65	value: 82697845465473006807547904.000000
n: 66	value: 87305723984753032085635072.000000
n: 67	value: 91494704456825777653022720.000000
n: 68	value: 95246030252711819998134272.000000
n: 69	value: 98556023602023026757992448.000000
n: 70	value: 101434278688380609057783808.000000
n: 71	value: 103901354476687108171890688.000000
n: 72	value: 105986207255537674191110144.000000
n: 73	value: 107723584571246473480503296.000000
n: 74	value: 109151565926623576317755392.000000
n: 75	value: 110309388647199591251312640.000000
n: 76	value: 111235646823660410070106112.000000
n: 77	value: 111966903278761062835421184.000000
n: 78	value: 112536713503514813997776896.000000
n: 79	value: 112975029061017692899639296.000000
n: 80	value: 113307926952792033698250752.000000
n: 81	value: 113557600371622793592176640.000000
n: 82	value: 113742543644830758793641984.000000
n: 83	value: 113877867991080489847881728.000000
n: 84	value: 113975692819694751397707776.000000
n: 85	value: 114045567697276371698974720.000000
n: 86	value: 114094891140275156436385792.000000
n: 87	value: 114129302844692908835078144.000000
n: 88	value: 114153035054636194645147648.000000
n: 89	value: 114169216106870250028400640.000000
n: 90	value: 114180124681410067858194432.000000
n: 91	value: 114187397064436613078056960.000000
n: 92	value: 114192192042256318320345088.000000
n: 93	value: 114195319201703948439257088.000000
n: 94	value: 114197336723928223718572032.000000
n: 95	value: 114198624504071381076410368.000000
n: 96	value: 114199437838898636546637824.000000
n: 97	value: 114199946173165666920562688.000000
n: 98	value: 114200260606732911767453696.000000
n: 99	value: 114200453117080195064397824.000000
n: 100	value: 114200569790017939393478656.000000
