Enter the x values of the brackets separated by a space: 

--------------------------
 SECANT METHOD
 -----------------------


i: 0	a: 1.000000000	b: -0.046482412	value: -3.702651461
i: 1	a: -0.046482412	b: 0.690415093	value: 1.780384308
i: 2	a: 0.690415093	b: 0.451138749	value: 3.331354064
i: 3	a: 0.451138749	b: 0.965084439	value: 1.521238272
i: 4	a: 0.965084439	b: 1.397009213	value: -2.471275853
i: 5	a: 1.397009213	b: 1.129657557	value: 1.966787495
i: 6	a: 1.129657557	b: 1.248138041	value: 4.210222009
i: 7	a: 1.248138041	b: 1.025787382	value: 1.595297137
i: 8	a: 1.025787382	b: 0.890137072	value: 1.505843936
i: 9	a: 0.890137072	b: -1.393383187	value: -2.564038888
i: 10	a: -1.393383187	b: 0.045241707	value: -6.373346480
i: 11	a: 0.045241707	b: -2.361719317	value: 0.534490566
i: 12	a: -2.361719317	b: -2.175481867	value: 0.790900456
i: 13	a: -2.175481867	b: -2.749934298	value: 0.293487168
i: 14	a: -2.749934298	b: -3.088876624	value: 0.197866067
i: 15	a: -3.088876624	b: -3.790240495	value: 0.106599886
i: 16	a: -3.790240495	b: -4.609441077	value: 0.062387114
i: 17	a: -4.609441077	b: -5.765386688	value: 0.035246165
i: 18	a: -5.765386688	b: -7.266537221	value: 0.020150229
i: 19	a: -7.266537221	b: -9.270290267	value: 0.011459224
i: 20	a: -9.270290267	b: -11.912269473	value: 0.006529051
i: 21	a: -11.912269473	b: -15.411054362	value: 0.003717712
i: 22	a: -15.411054362	b: -20.037846064	value: 0.002117802
i: 23	a: -20.037846064	b: -26.162329373	value: 0.001206430
i: 24	a: -26.162329373	b: -34.269630178	value: 0.000687352
i: 25	a: -34.269630178	b: -45.005136445	value: 0.000391632
i: 26	a: -45.005136445	b: -59.222569231	value: 0.000223152
i: 27	a: -59.222569231	b: -78.053499927	value: 0.000127155
i: 28	a: -78.053499927	b: -102.996532469	value: 0.000072456
i: 29	a: -102.996532469	b: -136.036974049	value: 0.000041288
i: 30	a: -136.036974049	b: -179.804616294	value: 0.000023527
i: 31	a: -179.804616294	b: -237.783150128	value: 0.000013407
i: 32	a: -237.783150128	b: -314.587386516	value: 0.000007640
i: 33	a: -314.587386516	b: -416.330598064	value: 0.000004353
i: 34	a: -416.330598064	b: -551.111090666	value: 0.000002481
i: 35	a: -551.111090666	b: -729.656798588	value: 0.000001414
i: 36	a: -729.656798588	b: -966.179176087	value: 0.000000806
i: 37	a: -966.179176087	b: -1279.504368194	value: 0.000000459
i: 38	a: -1279.504368194	b: -1694.571688076	value: 0.000000262
i: 39	a: -1694.571688076	b: -2244.418677483	value: 0.000000149
i: 40	a: -2244.418677483	b: -2972.810750089	value: 0.000000085
i: 41	a: -2972.810750089	b: -3937.724726937	value: 0.000000048
i: 42	a: -3937.724726937	b: -5215.963537543	value: 0.000000028
i: 43	a: -5215.963537543	b: -6909.269396967	value: 0.000000016
i: 44	a: -6909.269396967	b: -9152.422040822	value: 0.000000009
i: 45	a: -9152.422040822	b: -12123.966602370	value: 0.000000005
i: 46	a: -12123.966602370	b: -16060.425023712	value: 0.000000003
i: 47	a: -16060.425023712	b: -21275.122167236	value: 0.000000002
i: 48	a: -21275.122167236	b: -28183.125103398	value: 0.000000001
