Enter the x value to approximate at: Actual value: 0.000000000000 
n: 1	value: 1.000000000000
n: 2	value: -35.000000000000
n: 3	value: 613.000000000000
n: 4	value: -7163.000000000000
n: 5	value: 62821.000000000000
n: 6	value: -441063.799999999988
n: 7	value: 2582245.000000000000
n: 8	value: -12966200.257142856717
n: 9	value: 57001803.399999991059
n: 10	value: -222870211.228571414948
n: 11	value: 784669041.434285640717
n: 12	value: -2512732149.098701477051
n: 13	value: 7379471422.500259399414
n: 14	value: -20014323083.466094970703
n: 15	value: 50426862789.018814086914
n: 16	value: -118631983304.944961547852
n: 17	value: 261750420406.473571777344
n: 18	value: -543765258041.236267089844
n: 19	value: 1067266098854.183349609375
n: 20	value: -1985214366842.401123046875
n: 21	value: 3509250471411.451171875000
n: 22	value: -5909832108452.294921875000
n: 23	value: 9503212113142.927734375000
n: 24	value: -14621552755440.900390625000
n: 25	value: 21565594547434.843750000000
n: 26	value: -30543897568706.226562500000
n: 27	value: 41607706899796.789062500000
n: 28	value: -54594432391540.554687500000
n: 29	value: 69094032411607.460937500000
n: 30	value: -84450268723334.906250000000
n: 31	value: 99802892638595.937500000000
n: 32	value: -114168520555904.406250000000
n: 33	value: 126549319287908.468750000000
n: 34	value: -136051960541705.562500000000
n: 35	value: 141996453395532.812500000000
n: 36	value: -143996200939912.375000000000
n: 37	value: 141996453395532.812500000000
n: 38	value: -136266669741657.125000000000
n: 39	value: 127351025861996.500000000000
n: 40	value: -115988385464453.000000000000
n: 41	value: 103017084729351.562500000000
n: 42	value: -89280401294476.843750000000
n: 43	value: 75546015297376.062500000000
n: 44	value: -62448193942314.750000000000
n: 45	value: 50456159071977.734375000000
n: 46	value: -39867323339456.265625000000
n: 47	value: 30820619417318.171875000000
n: 48	value: -23323336736806.929687500000
n: 49	value: 17284630378786.898437500000
n: 50	value: -12549794440833.058593750000
n: 51	value: 8930991429293.308593750000
n: 52	value: -6231916243737.068359375000
n: 53	value: 4265481376053.191406250000
n: 54	value: -2864826441162.833984375000
n: 55	value: 1888712103647.849609375000
n: 56	value: -1222694943864.597656250000
n: 57	value: 777495300964.832763671875
n: 58	value: -485782748401.123291015625
n: 59	value: 298320868446.711547851562
n: 60	value: -180115236748.577514648438
n: 61	value: 106946426368.595886230469
n: 62	value: -62467014159.572021484375
n: 63	value: 35902080340.654510498047
n: 64	value: -20308830802.332077026367
n: 65	value: 11309806715.597877502441
n: 66	value: -6202054063.563327789307
n: 67	value: 3349869997.797328948975
n: 68	value: -1782507109.799441337585
n: 69	value: 934633711.869437217712
n: 70	value: -483004977.696934223175
n: 71	value: 246066348.365771055222
n: 72	value: -123603619.778699219227
n: 73	value: 61231364.293535917997
n: 74	value: -29920134.700990989804
n: 75	value: 14423837.782832913101
n: 76	value: -6861269.009402558208
n: 77	value: 3221149.997445821762
n: 78	value: -1492708.239522252232
n: 79	value: 682918.639078397304
n: 80	value: -308506.267625696142
n: 81	value: 137634.940391145938
n: 82	value: -60650.040949672752
n: 83	value: 26401.902078003754
n: 84	value: -11355.567187012566
n: 85	value: 4826.205355137285
n: 86	value: -2027.251250949711
n: 87	value: 841.637560900660
n: 88	value: -345.488844002942
n: 89	value: 140.153776184895
n: 90	value: -56.285935351758
n: 91	value: 22.289949262903
n: 92	value: -8.795016079161
n: 93	value: 3.368666011212
n: 94	value: -1.339856088287
n: 95	value: 0.463407694500
n: 96	value: -0.219934370556
n: 97	value: 0.036318903840
n: 98	value: -0.058785404183
n: 99	value: -0.023849127767
n: 100	value: -0.036553228282
