n: Simpson's Method: 2.315927 
Five Point Stencil Differentiation: 
x:	 0.314159 	 f(x): 	 1.106446 	 f'(x) 	 1.671256 
x:	 0.471239 	 f(x): 	 1.320539 	 f'(x) 	 1.042747 
x:	 0.628319 	 f(x): 	 1.434256 	 f'(x) 	 0.420856 
x:	 0.785398 	 f(x): 	 1.456885 	 f'(x) 	 -0.115129 
x:	 0.942478 	 f(x): 	 1.403925 	 f'(x) 	 -0.539680 
x:	 1.099557 	 f(x): 	 1.294903 	 f'(x) 	 -0.811071 
x:	 1.256637 	 f(x): 	 1.155673 	 f'(x) 	 -0.956329 
x:	 1.413717 	 f(x): 	 0.999708 	 f'(x) 	 -1.002447 
x:	 1.570796 	 f(x): 	 0.844999 	 f'(x) 	 -0.962617 
x:	 1.727876 	 f(x): 	 0.699081 	 f'(x) 	 -0.895405 
x:	 1.884956 	 f(x): 	 0.565148 	 f'(x) 	 -0.799074 
x:	 2.042035 	 f(x): 	 0.448698 	 f'(x) 	 -0.689376 
x:	 2.199115 	 f(x): 	 0.348155 	 f'(x) 	 -0.588591 
x:	 2.356194 	 f(x): 	 0.262575 	 f'(x) 	 -0.515004 
x:	 2.513274 	 f(x): 	 0.185629 	 f'(x) 	 -0.454290 
x:	 2.670354 	 f(x): 	 0.119252 	 f'(x) 	 -0.402928 
x:	 2.827433 	 f(x): 	 0.057889 	 f'(x) 	 -0.406978 


 Five Point Stencil Second Derivative: 
x:	 0.314159 	 f(x): 	 1.106446 	 f''(x) 	 -3.781536 
x:	 0.471239 	 f(x): 	 1.320539 	 f''(x) 	 -4.126340 
x:	 0.628319 	 f(x): 	 1.434256 	 f''(x) 	 -3.712590 
x:	 0.785398 	 f(x): 	 1.456885 	 f''(x) 	 -3.077193 
x:	 0.942478 	 f(x): 	 1.403925 	 f''(x) 	 -2.293389 
x:	 1.099557 	 f(x): 	 1.294903 	 f''(x) 	 -1.182526 
x:	 1.256637 	 f(x): 	 1.155673 	 f''(x) 	 -0.693501 
x:	 1.413717 	 f(x): 	 0.999708 	 f''(x) 	 0.086248 
x:	 1.570796 	 f(x): 	 0.844999 	 f''(x) 	 0.370911 
x:	 1.727876 	 f(x): 	 0.699081 	 f''(x) 	 0.477985 
x:	 1.884956 	 f(x): 	 0.565148 	 f''(x) 	 0.732428 
x:	 2.042035 	 f(x): 	 0.448698 	 f''(x) 	 0.642534 
x:	 2.199115 	 f(x): 	 0.348155 	 f''(x) 	 0.624652 
x:	 2.356194 	 f(x): 	 0.262575 	 f''(x) 	 0.321997 
x:	 2.513274 	 f(x): 	 0.185629 	 f''(x) 	 0.453654 
x:	 2.670354 	 f(x): 	 0.119252 	 f''(x) 	 0.189104 
x:	 2.827433 	 f(x): 	 0.057889 	 f''(x) 	 -0.039708 
