Enter M and E, separated by a space:Enter the k values in order: 

Enter the n values in order: 

Enter 1 for bisection, 2 for fpi, 3 for newton :Enter the initial guess: 

--------------------------
 Fixed Point Iteration
 -----------------------


i: 0	x: 10.000000000	value: 9.556071251
i: 1	x: 9.556071251	value: 9.142717834
i: 2	x: 9.142717834	value: 8.757913091
i: 3	x: 8.757913091	value: 8.399762914
i: 4	x: 8.399762914	value: 8.066496782
i: 5	x: 8.066496782	value: 7.756459426
i: 6	x: 7.756459426	value: 7.468103079
i: 7	x: 7.468103079	value: 7.199980270
i: 8	x: 7.199980270	value: 6.950737133
i: 9	x: 6.950737133	value: 6.719107200
i: 10	x: 6.719107200	value: 6.503905636
i: 11	x: 6.503905636	value: 6.304023891
i: 12	x: 6.304023891	value: 6.118424739
i: 13	x: 6.118424739	value: 5.946137680
i: 14	x: 5.946137680	value: 5.786254664
i: 15	x: 5.786254664	value: 5.637926132
i: 16	x: 5.637926132	value: 5.500357326
i: 17	x: 5.500357326	value: 5.372804865
i: 18	x: 5.372804865	value: 5.254573557
i: 19	x: 5.254573557	value: 5.145013421
i: 20	x: 5.145013421	value: 5.043516912
i: 21	x: 5.043516912	value: 4.949516326
i: 22	x: 4.949516326	value: 4.862481366
i: 23	x: 4.862481366	value: 4.781916866
i: 24	x: 4.781916866	value: 4.707360643
i: 25	x: 4.707360643	value: 4.638381489
i: 26	x: 4.638381489	value: 4.574577268
i: 27	x: 4.574577268	value: 4.515573133
i: 28	x: 4.515573133	value: 4.461019835
i: 29	x: 4.461019835	value: 4.410592130
i: 30	x: 4.410592130	value: 4.363987278
i: 31	x: 4.363987278	value: 4.320923618
i: 32	x: 4.320923618	value: 4.281139226
i: 33	x: 4.281139226	value: 4.244390650
i: 34	x: 4.244390650	value: 4.210451708
i: 35	x: 4.210451708	value: 4.179112359
i: 36	x: 4.179112359	value: 4.150177640
i: 37	x: 4.150177640	value: 4.123466657
i: 38	x: 4.123466657	value: 4.098811640
i: 39	x: 4.098811640	value: 4.076057055
i: 40	x: 4.076057055	value: 4.055058762
i: 41	x: 4.055058762	value: 4.035683232
i: 42	x: 4.035683232	value: 4.017806806
i: 43	x: 4.017806806	value: 4.001315006
i: 44	x: 4.001315006	value: 3.986101883
i: 45	x: 3.986101883	value: 3.972069413
i: 46	x: 3.972069413	value: 3.959126927
i: 47	x: 3.959126927	value: 3.947190584
i: 48	x: 3.947190584	value: 3.936182874
i: 49	x: 3.936182874	value: 3.926032154
i: 50	x: 3.926032154	value: 3.916672224
i: 51	x: 3.916672224	value: 3.908041922
i: 52	x: 3.908041922	value: 3.900084750
i: 53	x: 3.900084750	value: 3.892748532
i: 54	x: 3.892748532	value: 3.885985088
i: 55	x: 3.885985088	value: 3.879749936
i: 56	x: 3.879749936	value: 3.874002012
i: 57	x: 3.874002012	value: 3.868703417
i: 58	x: 3.868703417	value: 3.863819172
i: 59	x: 3.863819172	value: 3.859317001
i: 60	x: 3.859317001	value: 3.855167122
i: 61	x: 3.855167122	value: 3.851342061
i: 62	x: 3.851342061	value: 3.847816471
i: 63	x: 3.847816471	value: 3.844566971
i: 64	x: 3.844566971	value: 3.841571998
i: 65	x: 3.841571998	value: 3.838811663
i: 66	x: 3.838811663	value: 3.836267625
i: 67	x: 3.836267625	value: 3.833922968
i: 68	x: 3.833922968	value: 3.831762097
i: 69	x: 3.831762097	value: 3.829770631
i: 70	x: 3.829770631	value: 3.827935311
i: 71	x: 3.827935311	value: 3.826243911
i: 72	x: 3.826243911	value: 3.824685162
i: 73	x: 3.824685162	value: 3.823248673
i: 74	x: 3.823248673	value: 3.821924866
i: 75	x: 3.821924866	value: 3.820704911
i: 76	x: 3.820704911	value: 3.819580670
i: 77	x: 3.819580670	value: 3.818544639
i: 78	x: 3.818544639	value: 3.817589903
i: 79	x: 3.817589903	value: 3.816710089
i: 80	x: 3.816710089	value: 3.815899321
i: 81	x: 3.815899321	value: 3.815152185
i: 82	x: 3.815152185	value: 3.814463688
i: 83	x: 3.814463688	value: 3.813829232
i: 84	x: 3.813829232	value: 3.813244576
i: 85	x: 3.813244576	value: 3.812705815
i: 86	x: 3.812705815	value: 3.812209346
i: 87	x: 3.812209346	value: 3.811751851
i: 88	x: 3.811751851	value: 3.811330272
i: 89	x: 3.811330272	value: 3.810941790
i: 90	x: 3.810941790	value: 3.810583808
i: 91	x: 3.810583808	value: 3.810253931
i: 92	x: 3.810253931	value: 3.809949954
i: 93	x: 3.809949954	value: 3.809669844
i: 94	x: 3.809669844	value: 3.809411727
i: 95	x: 3.809411727	value: 3.809173877
i: 96	x: 3.809173877	value: 3.808954703
i: 97	x: 3.808954703	value: 3.808752738
i: 98	x: 3.808752738	value: 3.808566632
i: 99	x: 3.808566632	value: 3.808395139
i: 100	x: 3.808395139	value: 3.808237113
i: 101	x: 3.808237113	value: 3.808091496
i: 102	x: 3.808091496	value: 3.807957313
i: 103	x: 3.807957313	value: 3.807833667
i: 104	x: 3.807833667	value: 3.807719731
i: 105	x: 3.807719731	value: 3.807614741
i: 106	x: 3.807614741	value: 3.807517997
i: 107	x: 3.807517997	value: 3.807428849
i: 108	x: 3.807428849	value: 3.807346702
i: 109	x: 3.807346702	value: 3.807271006
i: 110	x: 3.807271006	value: 3.807201255
i: 111	x: 3.807201255	value: 3.807136981
i: 112	x: 3.807136981	value: 3.807077754
i: 113	x: 3.807077754	value: 3.807023179
i: 114	x: 3.807023179	value: 3.806972889
i: 115	x: 3.806972889	value: 3.806926549
i: 116	x: 3.806926549	value: 3.806883848
i: 117	x: 3.806883848	value: 3.806844500
i: 118	x: 3.806844500	value: 3.806808242
i: 119	x: 3.806808242	value: 3.806774832
i: 120	x: 3.806774832	value: 3.806744046
i: 121	x: 3.806744046	value: 3.806715677
i: 122	x: 3.806715677	value: 3.806689536
i: 123	x: 3.806689536	value: 3.806665448
i: 124	x: 3.806665448	value: 3.806643252
i: 125	x: 3.806643252	value: 3.806622799
i: 126	x: 3.806622799	value: 3.806603952
i: 127	x: 3.806603952	value: 3.806586585
i: 128	x: 3.806586585	value: 3.806570582
i: 129	x: 3.806570582	value: 3.806555836
i: 130	x: 3.806555836	value: 3.806542248
i: 131	x: 3.806542248	value: 3.806529727
i: 132	x: 3.806529727	value: 3.806518190
i: 133	x: 3.806518190	value: 3.806507558
i: 134	x: 3.806507558	value: 3.806497762
i: 135	x: 3.806497762	value: 3.806488735
i: 136	x: 3.806488735	value: 3.806480416
i: 137	x: 3.806480416	value: 3.806472751
i: 138	x: 3.806472751	value: 3.806465688
i: 139	x: 3.806465688	value: 3.806459180
i: 140	x: 3.806459180	value: 3.806453183
i: 141	x: 3.806453183	value: 3.806447656
i: 142	x: 3.806447656	value: 3.806442564
i: 143	x: 3.806442564	value: 3.806437872
i: 144	x: 3.806437872	value: 3.806433548
i: 145	x: 3.806433548	value: 3.806429564
i: 146	x: 3.806429564	value: 3.806425892
i: 147	x: 3.806425892	value: 3.806422509
i: 148	x: 3.806422509	value: 3.806419392
i: 149	x: 3.806419392	value: 3.806416520
i: 150	x: 3.806416520	value: 3.806413873
i: 151	x: 3.806413873	value: 3.806411434
i: 152	x: 3.806411434	value: 3.806409186
i: 153	x: 3.806409186	value: 3.806407115
i: 154	x: 3.806407115	value: 3.806405207
i: 155	x: 3.806405207	value: 3.806403448
i: 156	x: 3.806403448	value: 3.806401828
i: 157	x: 3.806401828	value: 3.806400335
i: 158	x: 3.806400335	value: 3.806398959
i: 159	x: 3.806398959	value: 3.806397691
i: 160	x: 3.806397691	value: 3.806396523
i: 161	x: 3.806396523	value: 3.806395446
i: 162	x: 3.806395446	value: 3.806394454
i: 163	x: 3.806394454	value: 3.806393540
i: 164	x: 3.806393540	value: 3.806392698
i: 165	x: 3.806392698	value: 3.806391922
i: 166	x: 3.806391922	value: 3.806391207
i: 167	x: 3.806391207	value: 3.806390548
i: 168	x: 3.806390548	value: 3.806389940
i: 169	x: 3.806389940	value: 3.806389381
i: 170	x: 3.806389381	value: 3.806388865
i: 171	x: 3.806388865	value: 3.806388390
i: 172	x: 3.806388390	value: 3.806387952
i: 173	x: 3.806387952	value: 3.806387549
i: 174	x: 3.806387549	value: 3.806387177
i: 175	x: 3.806387177	value: 3.806386835
i: 176	x: 3.806386835	value: 3.806386519
i: 177	x: 3.806386519	value: 3.806386228
i: 178	x: 3.806386228	value: 3.806385960
i: 179	x: 3.806385960	value: 3.806385713
i: 180	x: 3.806385713	value: 3.806385486
i: 181	x: 3.806385486	value: 3.806385276
i: 182	x: 3.806385276	value: 3.806385083
i: 183	x: 3.806385083	value: 3.806384905
i: 184	x: 3.806384905	value: 3.806384741
i: 185	x: 3.806384741	value: 3.806384589
i: 186	x: 3.806384589	value: 3.806384450
i: 187	x: 3.806384450	value: 3.806384322
i: 188	x: 3.806384322	value: 3.806384203
i: 189	x: 3.806384203	value: 3.806384094
i: 190	x: 3.806384094	value: 3.806383994
i: 191	x: 3.806383994	value: 3.806383901
i: 192	x: 3.806383901	value: 3.806383816
i: 193	x: 3.806383816	value: 3.806383738
i: 194	x: 3.806383738	value: 3.806383665
i: 195	x: 3.806383665	value: 3.806383598
i: 196	x: 3.806383598	value: 3.806383537
i: 197	x: 3.806383537	value: 3.806383480
i: 198	x: 3.806383480	value: 3.806383428
i: 199	x: 3.806383428	value: 3.806383380
i: 200	x: 3.806383380	value: 3.806383336
i: 201	x: 3.806383336	value: 3.806383295
i: 202	x: 3.806383295	value: 3.806383257
i: 203	x: 3.806383257	value: 3.806383222
i: 204	x: 3.806383222	value: 3.806383190
i: 205	x: 3.806383190	value: 3.806383161
i: 206	x: 3.806383161	value: 3.806383134
i: 207	x: 3.806383134	value: 3.806383109
i: 208	x: 3.806383109	value: 3.806383086
i: 209	x: 3.806383086	value: 3.806383065
i: 210	x: 3.806383065	value: 3.806383045
i: 211	x: 3.806383045	value: 3.806383027
i: 212	x: 3.806383027	value: 3.806383010
i: 213	x: 3.806383010	value: 3.806382995
i: 214	x: 3.806382995	value: 3.806382981
i: 215	x: 3.806382981	value: 3.806382968
i: 216	x: 3.806382968	value: 3.806382956
i: 217	x: 3.806382956	value: 3.806382945
i: 218	x: 3.806382945	value: 3.806382935
i: 219	x: 3.806382935	value: 3.806382925
i: 220	x: 3.806382925	value: 3.806382917
i: 221	x: 3.806382917	value: 3.806382909
i: 222	x: 3.806382909	value: 3.806382901
i: 223	x: 3.806382901	value: 3.806382895
i: 224	x: 3.806382895	value: 3.806382889
i: 225	x: 3.806382889	value: 3.806382883
i: 226	x: 3.806382883	value: 3.806382877
i: 227	x: 3.806382877	value: 3.806382873
i: 228	x: 3.806382873	value: 3.806382868
i: 229	x: 3.806382868	value: 3.806382864
i: 230	x: 3.806382864	value: 3.806382860
i: 231	x: 3.806382860	value: 3.806382857
i: 232	x: 3.806382857	value: 3.806382853
i: 233	x: 3.806382853	value: 3.806382850
i: 234	x: 3.806382850	value: 3.806382848
i: 235	x: 3.806382848	value: 3.806382845
i: 236	x: 3.806382845	value: 3.806382843
i: 237	x: 3.806382843	value: 3.806382841
i: 238	x: 3.806382841	value: 3.806382839
i: 239	x: 3.806382839	value: 3.806382837
i: 240	x: 3.806382837	value: 3.806382835
i: 241	x: 3.806382835	value: 3.806382834
i: 242	x: 3.806382834	value: 3.806382832
i: 243	x: 3.806382832	value: 3.806382831
i: 244	x: 3.806382831	value: 3.806382830
i: 245	x: 3.806382830	value: 3.806382829
i: 246	x: 3.806382829	value: 3.806382828
