Enter initial value for theta: .05
Enter stepsize for the points: .1
Enter stepsize: .001

[0.000000,0.050000]  	 mhat: 0.000000

[0.100000,0.049852]  	 mhat: 0.000209

[0.200000,0.049413]  	 mhat: 0.001664

[0.300000,0.048694]  	 mhat: 0.005566

[0.400000,0.047715]  	 mhat: 0.013033

[0.500000,0.046502]  	 mhat: 0.025063

[0.600000,0.045085]  	 mhat: 0.042508

[0.700000,0.043515]  	 mhat: 0.065788

[0.800000,0.041796]  	 mhat: 0.095883

[0.900000,0.039978]  	 mhat: 0.132935

[1.000000,0.038096]  	 mhat: 0.177122

[1.100000,0.036182]  	 mhat: 0.228477

[1.200000,0.034245]  	 mhat: 0.287521

[1.300000,0.032348]  	 mhat: 0.352879

[1.400000,0.030493]  	 mhat: 0.424811

[1.500000,0.028694]  	 mhat: 0.502962

[1.600000,0.026964]  	 mhat: 0.586934

[1.700000,0.025311]  	 mhat: 0.676304

[1.800000,0.023741]  	 mhat: 0.770633

[1.900000,0.022255]  	 mhat: 0.869478

[2.000000,0.020854]  	 mhat: 0.972405

[2.100000,0.019538]  	 mhat: 1.078989

[2.200000,0.018304]  	 mhat: 1.188823

[2.300000,0.017149]  	 mhat: 1.301518

[2.400000,0.016070]  	 mhat: 1.416705

[2.500000,0.015062]  	 mhat: 1.534038

[2.600000,0.014122]  	 mhat: 1.653192

[2.700000,0.013245]  	 mhat: 1.773864

[2.800000,0.012428]  	 mhat: 1.895774

[2.900000,0.011666]  	 mhat: 2.018658

[3.000000,0.010956]  	 mhat: 2.142277

[3.100000,0.010294]  	 mhat: 2.266407

[3.200000,0.009677]  	 mhat: 2.390844

[3.300000,0.009102]  	 mhat: 2.515400

[3.400000,0.008565]  	 mhat: 2.639901

[3.500000,0.008064]  	 mhat: 2.764192

[3.600000,0.007596]  	 mhat: 2.888128

[3.700000,0.007160]  	 mhat: 3.011580

[3.800000,0.006751]  	 mhat: 3.134428

[3.900000,0.006370]  	 mhat: 3.256566

[4.000000,0.006013]  	 mhat: 3.377896

[4.100000,0.005679]  	 mhat: 3.498333

[4.200000,0.005366]  	 mhat: 3.617798

[4.300000,0.005073]  	 mhat: 3.736220

[4.400000,0.004799]  	 mhat: 3.853540

[4.500000,0.004541]  	 mhat: 3.969701

[4.600000,0.004300]  	 mhat: 4.084655

[4.700000,0.004075]  	 mhat: 4.197229

[4.800000,0.003862]  	 mhat: 4.309661

[4.900000,0.003662]  	 mhat: 4.420777

[5.000000,0.003474]  	 mhat: 4.530548

[5.100000,0.003297]  	 mhat: 4.638953

[5.200000,0.003130]  	 mhat: 4.745973

[5.300000,0.002973]  	 mhat: 4.851594

[5.400000,0.002826]  	 mhat: 4.955802

[5.500000,0.002686]  	 mhat: 5.058591

[5.600000,0.002555]  	 mhat: 5.159954

[5.700000,0.002431]  	 mhat: 5.259887

[5.800000,0.002314]  	 mhat: 5.358391

[5.900000,0.002204]  	 mhat: 5.455466

[6.000000,0.002099]  	 mhat: 5.551115

[6.100000,0.002001]  	 mhat: 5.645344

[6.200000,0.001907]  	 mhat: 5.738158

[6.300000,0.001819]  	 mhat: 5.829566

[6.400000,0.001736]  	 mhat: 5.919576

[6.500000,0.001657]  	 mhat: 6.008199

[6.600000,0.001582]  	 mhat: 6.095446

[6.700000,0.001511]  	 mhat: 6.181330

[6.800000,0.001444]  	 mhat: 6.265863

[6.900000,0.001380]  	 mhat: 6.349060

[7.000000,0.001319]  	 mhat: 6.430934

[7.100000,0.001262]  	 mhat: 6.511500

[7.200000,0.001207]  	 mhat: 6.590775

[7.300000,0.001156]  	 mhat: 6.668773

[7.400000,0.001106]  	 mhat: 6.745512

[7.500000,0.001060]  	 mhat: 6.821007

[7.600000,0.001015]  	 mhat: 6.895275

[7.700000,0.000973]  	 mhat: 6.968334

[7.800000,0.000933]  	 mhat: 7.040200

[7.900000,0.000894]  	 mhat: 7.110891

[8.000000,0.000858]  	 mhat: 7.180424

[8.100000,0.000823]  	 mhat: 7.248816

[8.200000,0.000790]  	 mhat: 7.316085

[8.300000,0.000758]  	 mhat: 7.382248

[8.400000,0.000728]  	 mhat: 7.447322

[8.500000,0.000699]  	 mhat: 7.511326

[8.600000,0.000672]  	 mhat: 7.574275

[8.700000,0.000646]  	 mhat: 7.636187

[8.800000,0.000621]  	 mhat: 7.697080

[8.900000,0.000597]  	 mhat: 7.756969

[9.000000,0.000574]  	 mhat: 7.815872

[9.100000,0.000552]  	 mhat: 7.873806

[9.200000,0.000531]  	 mhat: 7.930786

[9.300000,0.000511]  	 mhat: 7.986829

[9.400000,0.000492]  	 mhat: 8.041951

[9.500000,0.000474]  	 mhat: 8.096169

[9.600000,0.000457]  	 mhat: 8.149496

[9.700000,0.000440]  	 mhat: 8.201950

[9.800000,0.000424]  	 mhat: 8.253546

[9.900000,0.000409]  	 mhat: 8.304298

[10.000000,0.000394]  	 mhat: 8.354221

[10.100000,0.000380]  	 mhat: 8.403330

[10.200000,0.000367]  	 mhat: 8.451639

[10.300000,0.000354]  	 mhat: 8.499164

[10.400000,0.000341]  	 mhat: 8.545917

[10.500000,0.000329]  	 mhat: 8.591912

[10.600000,0.000318]  	 mhat: 8.637163

[10.700000,0.000307]  	 mhat: 8.681684

[10.800000,0.000296]  	 mhat: 8.725487

