Enter initial value for theta: 50
Enter stepsize for the points: .1
Enter stepsize: .001
[0.000000,50.000000]  	 mhat: 0.000000

[0.100000,49.936356]  	 mhat: 0.209280

[0.200000,49.745719]  	 mhat: 1.670401

[0.300000,49.428982]  	 mhat: 5.616080

[0.400000,48.987624]  	 mhat: 13.240998

[0.500000,48.423704]  	 mhat: 25.683348

[0.600000,47.739854]  	 mhat: 44.007037

[0.700000,46.947835]  	 mhat: 68.896112

[0.800000,46.035342]  	 mhat: 101.712402

[0.900000,45.014044]  	 mhat: 142.985555

[1.000000,43.888692]  	 mhat: 193.326200

[1.100000,42.664510]  	 mhat: 253.198783

[1.200000,41.333556]  	 mhat: 323.659257

[1.300000,39.928341]  	 mhat: 403.457411

[1.400000,38.442647]  	 mhat: 493.214599

[1.500000,36.883342]  	 mhat: 592.730736

[1.600000,35.257628]  	 mhat: 701.630849

[1.700000,33.573006]  	 mhat: 819.365860

[1.800000,31.837247]  	 mhat: 945.215693

[1.900000,30.058358]  	 mhat: 1078.294728

[2.000000,28.244552]  	 mhat: 1217.559635

[2.100000,26.404217]  	 mhat: 1361.819581

[2.200000,24.545895]  	 mhat: 1509.748821

[2.300000,22.678252]  	 mhat: 1659.901674

[2.400000,20.810071]  	 mhat: 1810.729897

[2.500000,18.950242]  	 mhat: 1960.602513

[2.600000,17.107767]  	 mhat: 2107.828160

[2.700000,15.291792]  	 mhat: 2250.680180

[2.800000,13.511655]  	 mhat: 2387.424733

[2.900000,11.776983]  	 mhat: 2516.352543

[3.000000,10.097859]  	 mhat: 2635.815212

[3.100000,8.485084]  	 mhat: 2744.267761

[3.200000,6.950619]  	 mhat: 2840.320221

[3.300000,5.508323]  	 mhat: 2922.803196

[3.400000,4.175198]  	 mhat: 2990.856202

[3.500000,2.973537]  	 mhat: 3044.054615

[3.600000,1.934417]  	 mhat: 3082.602879

[3.700000,1.101914]  	 mhat: 3107.631933

[3.800000,0.528764]  	 mhat: 3121.581011

[3.900000,0.229509]  	 mhat: 3128.234134

[4.000000,0.114883]  	 mhat: 3131.407298

[4.100000,0.073308]  	 mhat: 3133.278044

[4.200000,0.055074]  	 mhat: 3134.642841

[4.300000,0.045212]  	 mhat: 3135.770481

