Enter initial value for theta: 500 
Enter stepsize for the points: .01
Enter stepsize: .001

[0.000000,500.000000]  	 mhat: 0.000000

[0.010000,499.993732]  	 mhat: 0.002094

[0.020000,499.974904]  	 mhat: 0.016755

[0.030000,499.943530]  	 mhat: 0.056545

[0.040000,499.899609]  	 mhat: 0.134025

[0.050000,499.843144]  	 mhat: 0.261750

[0.060000,499.774136]  	 mhat: 0.452267

[0.070000,499.692588]  	 mhat: 0.718113

[0.080000,499.598505]  	 mhat: 1.071814

[0.090000,499.491890]  	 mhat: 1.525883

[0.100000,499.385226]  	 mhat: 2.030690

[0.110000,499.254815]  	 mhat: 2.709877

[0.120000,499.111888]  	 mhat: 3.525627

[0.130000,498.956452]  	 mhat: 4.490384

[0.140000,498.788513]  	 mhat: 5.616568

[0.150000,498.589349]  	 mhat: 7.056615

[0.160000,498.395181]  	 mhat: 8.562117

[0.170000,498.188536]  	 mhat: 10.267389

[0.180000,497.969423]  	 mhat: 12.184739

[0.190000,497.737852]  	 mhat: 14.326445

[0.200000,497.493835]  	 mhat: 16.704750

[0.210000,497.237381]  	 mhat: 19.331861

[0.220000,496.968503]  	 mhat: 22.219950

[0.230000,496.687213]  	 mhat: 25.381146

[0.240000,496.393523]  	 mhat: 28.827538

[0.250000,496.087447]  	 mhat: 32.571174

[0.260000,495.768999]  	 mhat: 36.624054

[0.270000,495.438193]  	 mhat: 40.998134

[0.280000,495.095044]  	 mhat: 45.705319

[0.290000,494.739568]  	 mhat: 50.757464

[0.300000,494.371781]  	 mhat: 56.166374

[0.310000,493.991699]  	 mhat: 61.943798

[0.320000,493.599340]  	 mhat: 68.101429

[0.330000,493.194721]  	 mhat: 74.650903

[0.340000,492.777862]  	 mhat: 81.603798

[0.350000,492.348780]  	 mhat: 88.971628

[0.360000,491.907495]  	 mhat: 96.765846

[0.370000,491.454027]  	 mhat: 104.997840

[0.380000,490.988397]  	 mhat: 113.678931

[0.390000,490.510626]  	 mhat: 122.820372

[0.400000,490.020735]  	 mhat: 132.433347

[0.410000,489.518747]  	 mhat: 142.528967

[0.420000,489.004684]  	 mhat: 153.118270

[0.430000,488.478570]  	 mhat: 164.212218

[0.440000,487.940428]  	 mhat: 175.821699

[0.450000,487.390283]  	 mhat: 187.957518

[0.460000,486.828160]  	 mhat: 200.630405

[0.470000,486.254084]  	 mhat: 213.851003

[0.480000,485.668081]  	 mhat: 227.629875

[0.490000,485.070178]  	 mhat: 241.977497

[0.500000,484.460401]  	 mhat: 256.904259

[0.510000,483.838779]  	 mhat: 272.420461

[0.520000,483.205339]  	 mhat: 288.536314

[0.530000,482.560110]  	 mhat: 305.261937

[0.540000,481.903121]  	 mhat: 322.607356

[0.550000,481.234402]  	 mhat: 340.582501

[0.560000,480.553983]  	 mhat: 359.197205

[0.570000,479.861896]  	 mhat: 378.461205

[0.580000,479.158170]  	 mhat: 398.384136

[0.590000,478.442838]  	 mhat: 418.975532

[0.600000,477.715933]  	 mhat: 440.244825

[0.610000,476.977486]  	 mhat: 462.201343

[0.620000,476.227533]  	 mhat: 484.854306

[0.630000,475.466105]  	 mhat: 508.212827

[0.640000,474.693238]  	 mhat: 532.285912

[0.650000,473.908967]  	 mhat: 557.082455

[0.660000,473.113327]  	 mhat: 582.611239

[0.670000,472.306354]  	 mhat: 608.880931

[0.680000,471.488084]  	 mhat: 635.900087

[0.690000,470.658554]  	 mhat: 663.677144

[0.700000,469.817802]  	 mhat: 692.220422

[0.710000,468.965865]  	 mhat: 721.538123

[0.720000,468.102783]  	 mhat: 751.638327

[0.730000,467.228593]  	 mhat: 782.528992

[0.740000,466.343336]  	 mhat: 814.217954

[0.750000,465.447050]  	 mhat: 846.712925

[0.760000,464.539778]  	 mhat: 880.021488

[0.770000,463.621558]  	 mhat: 914.151102

[0.780000,462.692434]  	 mhat: 949.109096

[0.790000,461.752446]  	 mhat: 984.902669

[0.800000,460.801637]  	 mhat: 1021.538889

[0.810000,459.840050]  	 mhat: 1059.024691

[0.820000,458.867728]  	 mhat: 1097.366879

[0.830000,457.884714]  	 mhat: 1136.572120

[0.840000,456.891054]  	 mhat: 1176.646943

[0.850000,455.886791]  	 mhat: 1217.597744

[0.860000,454.871971]  	 mhat: 1259.430777

[0.870000,453.846639]  	 mhat: 1302.152159

[0.880000,452.810842]  	 mhat: 1345.767864

[0.890000,451.764625]  	 mhat: 1390.283724

[0.900000,450.708037]  	 mhat: 1435.705431

[0.910000,449.641124]  	 mhat: 1482.038529

[0.920000,448.563935]  	 mhat: 1529.288420

