Enter initial value for theta: 40000
Enter stepsize for the points: .01
Enter stepsize: .001

[0.000000,5000.000000]  	 mhat: 0.000000

[0.010000,4999.937517]  	 mhat: 0.020944

[0.020000,4999.749825]  	 mhat: 0.167547

[0.030000,4999.437061]  	 mhat: 0.565448

[0.040000,4998.999222]  	 mhat: 1.340252

[0.050000,4998.436324]  	 mhat: 2.617503

[0.060000,4997.748391]  	 mhat: 4.522671

[0.070000,4996.935454]  	 mhat: 7.181133

[0.080000,4995.997548]  	 mhat: 10.718152

[0.090000,4994.934717]  	 mhat: 15.258859

[0.100000,4993.871397]  	 mhat: 20.306948

[0.110000,4992.571344]  	 mhat: 27.098842

[0.120000,4991.146519]  	 mhat: 35.256385

[0.130000,4989.596986]  	 mhat: 44.904013

[0.140000,4987.922816]  	 mhat: 56.165939

[0.150000,4985.937363]  	 mhat: 70.566522

[0.160000,4984.001707]  	 mhat: 85.621686

[0.170000,4981.941665]  	 mhat: 102.674583

[0.180000,4979.757331]  	 mhat: 121.848314

[0.190000,4977.448802]  	 mhat: 143.265660

[0.200000,4975.016184]  	 mhat: 167.049063

[0.210000,4972.459585]  	 mhat: 193.320612

[0.220000,4969.779120]  	 mhat: 222.202019

[0.230000,4966.974911]  	 mhat: 253.814604

[0.240000,4964.047084]  	 mhat: 288.279276

[0.250000,4960.995771]  	 mhat: 325.716514

[0.260000,4957.821108]  	 mhat: 366.246349

[0.270000,4954.523240]  	 mhat: 409.988347

[0.280000,4951.102314]  	 mhat: 457.061588

[0.290000,4947.558485]  	 mhat: 507.584650

[0.300000,4943.891913]  	 mhat: 561.675591

[0.310000,4940.102761]  	 mhat: 619.451932

[0.320000,4936.191202]  	 mhat: 681.030634

[0.330000,4932.157410]  	 mhat: 746.528087

[0.340000,4928.001568]  	 mhat: 816.060087

[0.350000,4923.723863]  	 mhat: 889.741821

[0.360000,4919.324487]  	 mhat: 967.687847

[0.370000,4914.803638]  	 mhat: 1050.012081

[0.380000,4910.161520]  	 mhat: 1136.827772

[0.390000,4905.398341]  	 mhat: 1228.247492

[0.400000,4900.514316]  	 mhat: 1324.383114

[0.410000,4895.509664]  	 mhat: 1425.345797

[0.420000,4890.384611]  	 mhat: 1531.245967

[0.430000,4885.139386]  	 mhat: 1642.193301

[0.440000,4879.774227]  	 mhat: 1758.296710

[0.450000,4874.289374]  	 mhat: 1879.664322

[0.460000,4868.685073]  	 mhat: 2006.403465

[0.470000,4862.961577]  	 mhat: 2138.620647

[0.480000,4857.119143]  	 mhat: 2276.421546

[0.490000,4851.158033]  	 mhat: 2419.910989

[0.500000,4845.078515]  	 mhat: 2569.192935

[0.510000,4838.880863]  	 mhat: 2724.370461

[0.520000,4832.565354]  	 mhat: 2885.545742

[0.530000,4826.132273]  	 mhat: 3052.820042

[0.540000,4819.581908]  	 mhat: 3226.293688

[0.550000,4812.914553]  	 mhat: 3406.066062

[0.560000,4806.130508]  	 mhat: 3592.235583

[0.570000,4799.230078]  	 mhat: 3784.899688

[0.580000,4792.213571]  	 mhat: 3984.154820

[0.590000,4785.081303]  	 mhat: 4190.096412

[0.600000,4777.833593]  	 mhat: 4402.818870

[0.610000,4770.470768]  	 mhat: 4622.415558

[0.620000,4762.993156]  	 mhat: 4848.978784

[0.630000,4755.401094]  	 mhat: 5082.599784

[0.640000,4747.694921]  	 mhat: 5323.368707

[0.650000,4739.874983]  	 mhat: 5571.374601

[0.660000,4731.941631]  	 mhat: 5826.705397

[0.670000,4723.895220]  	 mhat: 6089.447895

[0.680000,4715.736111]  	 mhat: 6359.687751

[0.690000,4707.464668]  	 mhat: 6637.509458

[0.700000,4699.081263]  	 mhat: 6922.996337

[0.710000,4690.586271]  	 mhat: 7216.230523

[0.720000,4681.980072]  	 mhat: 7517.292947

[0.730000,4673.263050]  	 mhat: 7826.263322

[0.740000,4664.435597]  	 mhat: 8143.220136

[0.750000,4655.498108]  	 mhat: 8468.240630

[0.760000,4646.450981]  	 mhat: 8801.400793

[0.770000,4637.294621]  	 mhat: 9142.775341

[0.780000,4628.029438]  	 mhat: 9492.437708

[0.790000,4618.655846]  	 mhat: 9850.460033

